-0.46,-0.33,-0.16,0.12,-0.46,-0.33,0.00,25.25
-0.45,-0.31,-0.13,0.17,-0.45,-0.31,0.00,25.25
-0.43,-0.28,-0.09,0.06,-0.43,-0.28,0.00,25.25
-0.42,-0.26,-0.07,0.04,-0.43,-0.28,0.00,25.25
-0.41,-0.26,-0.03,0.08,-0.42,-0.26,0.00,25.25
-0.40,-0.25,-0.08,-0.03,-0.41,-0.26,0.00,25.25
-0.40,-0.26,-0.09,-0.00,-0.40,-0.25,0.00,25.25
-0.39,-0.26,-0.05,-0.16,-0.39,-0.26,0.00,25.25
-0.38,-0.26,-0.03,-0.11,-0.38,-0.26,0.00,25.25
-0.36,-0.26,-0.04,-0.11,-0.38,-0.26,0.00,25.25
-0.35,-0.27,0.03,-0.10,-0.36,-0.26,0.00,25.25
-0.33,-0.28,-0.00,-0.26,-0.35,-0.27,0.00,25.25
-0.31,-0.28,0.09,-0.22,-0.31,-0.28,0.00,25.25
-0.29,-0.27,0.14,-0.11,-0.29,-0.27,0.00,25.25
-0.27,-0.27,0.15,-0.08,-0.29,-0.27,0.00,25.25
-0.25,-0.28,0.17,-0.20,-0.27,-0.27,0.00,25.25
-0.22,-0.29,0.22,-0.21,-0.25,-0.28,0.00,25.25
-0.22,-0.29,0.23,-0.39,-0.22,-0.29,0.00,25.25
-0.20,-0.30,0.16,-0.44,-0.20,-0.30,0.00,25.25
-0.17,-0.33,0.15,-0.45,-0.19,-0.32,0.00,25.25
-0.16,-0.34,0.14,-0.36,-0.17,-0.33,0.00,25.25
-0.15,-0.35,0.13,-0.34,-0.16,-0.34,0.00,25.25
-0.14,-0.35,0.06,-0.22,-0.14,-0.35,0.00,25.25
-0.14,-0.34,0.04,-0.18,-0.14,-0.35,0.00,25.25
-0.14,-0.34,-0.00,-0.24,-0.14,-0.34,0.00,25.25
-0.14,-0.36,-0.08,-0.20,-0.14,-0.34,0.00,25.25
-0.13,-0.35,-0.11,-0.28,-0.14,-0.36,0.00,25.25
-0.13,-0.34,-0.11,-0.21,-0.13,-0.35,0.00,25.25
-0.13,-0.35,-0.02,-0.08,-0.13,-0.34,0.00,25.25
-0.13,-0.35,-0.06,-0.31,-0.13,-0.35,0.00,25.25
-0.13,-0.34,-0.10,-0.24,-0.13,-0.35,0.00,25.25
-0.13,-0.33,-0.14,-0.10,-0.13,-0.34,0.00,25.25
-0.13,-0.33,-0.09,-0.03,-0.13,-0.33,0.00,25.25
-0.13,-0.33,-0.11,-0.09,-0.13,-0.33,0.00,25.25
-0.14,-0.32,-0.13,-0.19,-0.13,-0.33,0.00,25.25
-0.14,-0.31,-0.19,-0.05,-0.14,-0.32,0.00,25.25
